设备编号,探测器序号,CrystalCode,ADBroadId,组装日期,备注,,,,,
2016PG1G003,1,4F0064,HJ1614216,2016.4.12,sd nose高  已拆散,,,,,
,2,4F0066,HJ1614040,,,,,,,
,3,4F0067,HJ1614265,,,,,,,
,4,4F0068,HJ1614072,,,,,,,
,5,5I0095,HJ1614238,,,,,,,
,6,5I0096,HJ1614012,,,,,,,
,7,5I0097,HJ1614049,,,,,,,
,8,5I0098,HJ1614124,,,,,,,
,9,5I0099,HJ1614129,,,,,,,
,10,5I0100,HJ1614109,,,,,,,
,11,5I0101,HJ1614047,,,,,,,
,12,5I0102,HJ1614017,,,,,,,
,13,5I0103,HJ1614037,,,,,,,
,14,5I0104,HJ1614148,,,,,,,
,15,5I0115,HJ1614266,,有开路点  已拆开,,,,,
